source_text,target_text,predictions,ROUGE-1,ROUGE-2,ROUGE-L,BLEU_score
summarize: the season premiere of hbo game of thrones became the most watched in the show history with 10.1 million viewers tuning in to the live broadcast as per hbo this season first episode beat viewership for last year season finale which had 8.89 million viewers it was also the most tweeted got episode ever with 2.4 million tweets.,season premiere most watched got episode in showa¢aas history,game of thrones season premiere most watched in show history,0.5454545454545454,0.3,0.5454545454545454,0.2907153684841096
summarize: president pranab mukherjee is entitled to salary of a¢aa¹75 000 per month half of his salary as president after he retires on july 24 he will further be entitled to office expenses of a¢aa¹60 000 per annum mobile phone car and free travel across india he will live in the delhi bungalow where former president dr apj abdul kalam stayed.,what will president pranab mukherjee earn post retirement ,pranab mukherjee entitled to aaa175 000 monthly salary after retirement,0.33333333333333326,0.125,0.33333333333333326,0.427287006396234
summarize: singer ed sheeran deleted his twitter account on monday after announcing earlier this month that he taking break from the social media platform go on it and there nothing but people saying mean things he had said earlier notably the singer was trolled for his cameo appearance on sunday premiere episode of game of thrones season 7.,singer ed sheeran deletes his twitter account ,singer ed sheeran deletes twitter account after announcing break,0.75,0.5714285714285715,0.75,0.3549481056010053
summarize: nawazuddin siddiqui while speaking about his tweet about being discriminated in the film industry on the basis of his skin colour said it was just reply to someone in the film industry nawazuddin further explained that his tweet was not directed towards the entire industry these things are there everywhere not just in bollywood he added.,was reply to someone siddiqui on tweet about skin colour,it was reply to someone in film industry nawazuddin on discrimination row,0.45454545454545453,0.3,0.45454545454545453,0.22416933501922293
summarize: twitter has deleted nearly 90 000 fake accounts after security researchers discovered massive pornographic botnet that was posting links to scam websites and offering online sex the fake profiles had pictures of females and each tweet included sexually explicit phrase prompting users to click on the accompanying url the accounts were reportedly able to attract over crore clicks.,twitter deletes 90 000 fake accounts that offered online sex,90 000 fake twitter accounts deleted after pornographic botnet,0.631578947368421,0.23529411764705882,0.4210526315789474,0.33584386823726153
summarize: replying to an rti application the ministry of home affairs revealed that jammu and kashmir accounted for 49.5% of the total human rights violation complaints against the indian armed forces between 2012 and 2016 the ministry further stated that total of 186 human rights violation complaints were received between these four years from and six other states.,50% human rights complaints against armed forces in rti,jammu and kashmir accounted for 49.5% of rti complaints govt,0.19999999999999998,0.0,0.09999999999999999,0.7226568811456053
summarize: hotel rooms with tariffs less than a¢aa¹7 500 per unit per day including 5-star hotels will attract gst rate of 18% the finance ministry has clarified the clarification came after news reports suggested that five-star hotels would be taxed at the highest slab rate of 28% under gst the rate for air-conditioned restaurants including restaurants in 5-star hotels will be 18%.,govt clarifies gst rates for accommodation at 5-star hotels,rooms less than aaa17 500 per unit per day to get 18% gst,0.08695652173913043,0.0,0.08695652173913043,0.5169731539571706
summarize: m venkaiah naidu the vice presidential candidate of nda on tuesday said that he no longer belongs to the bjp am above any party now he said adding that he will uphold the traditions and standards set by the worthy predecessors he also said that the office of vice president has been held by illustrious people like sarvepalli radhakrishnan.,no longer part of bjp nda vice prez nominee venkaiah naidu,no longer belongs to bjp am above any party now nda vp,0.34782608695652173,0.09523809523809525,0.34782608695652173,0.41722614486115056
summarize: hackers on monday stole over a¢aa¹45 crore worth of digital currency ether in about three minutes by tricking victims into sending money to the wrong web address the hackers changed the address which was posted by company called coindash to get funds from investors it took coindash three minutes to realise its investors were sending funds to hackers address.,hackers steal a¢aa¹45 crore-worth digital currency in minutes,hackers steal aaa145 crore of digital currency from wrong web address,0.43478260869565216,0.1904761904761905,0.43478260869565216,0.5193071778680676
summarize: the government has recently transferred 325 commissioners of the income tax department across the country the central board of direct taxes cbdt which frames policy for the tax department has brought out two lists transferring 80 and subsequently 245 commissioner rank officials this is reportedly the largest scale of transfers done in the department in the last few years.,govt transfers over 300 i-t commissioners across the country,govt transfers 325 tax commissioners across the country,0.6666666666666665,0.5,0.6666666666666665,0.3628241434631103
summarize: the new ceo of national stock exchange nse vikram limaye has said his immediate priority is to resolve probe from market regulator sebi about whether nse employees provided unfair access to co-location servers to select brokers co-location servers are placed at exchanges to speed up algorithmic trading notably the probe has delayed the initial public offering of the nse.,resolving regulatory probe of nse top priority ceo limaye,priority is to resolve sebi probe on unfair access to nse servers,0.380952380952381,0.0,0.28571428571428575,0.7071067811865476
summarize: ajay singh-controlled budget carrier spicejet has moved the supreme court against delhi high court order asking it to deposit a¢aa¹579 crore in share transfer dispute spicejet has filed the appeal against its previous owner kalanithi maran-promoted kal airways notably maran sought a¢aa¹2 000 crore in compensation from singh and spicejet for causing losses by failing to honour an agreement.,spicejet challenges order to pay a¢aa¹579 cr in row with maran,ajay singh asks sc to deposit aaa1579 crore in share transfer dispute,0.15384615384615383,0.0,0.15384615384615383,0.6389431042462724
summarize: suniel shetty has said that after doing 126 films one can say that he has not been doing that many films while adding did an overdose of cinema suniel further said needed to take break to focus on my children athiya and ahan careers are more important to me suniel will complete 25 years in bollywood this year.,i think after 126 films did an overdose of cinema suniel,took break to focus on my kids suniel on 126 films,0.2727272727272727,0.10000000000000002,0.18181818181818182,0.4063798282013443
summarize: on the occasion of priyanka chopra 35th birthday abhishek bachchan tweeted happy birthday chopps take break even if it just for the day happy birthday onward and upward wrote jacqueline fernandez riteish deshmukh wrote happy birthday dear keep shining have the brightest one happy birthday @priyankachopra bigger person than star tweeted filmmaker sujoy ghosh.,abhishek jacqueline riteish wish priyanka on her birthday,happy birthday abhishek on priyanka birthday,0.5714285714285715,0.0,0.42857142857142855,0.6474591278836639
summarize: an 18-year-old son of maharashtra housing and area development authority vice president milind mhaiskar and urban development department principal secretary manisha mhaiskar was found dead under mysterious circumstances in mumbai the police are trying to find out whether it was case of suicide or if he was pushed from the 20th storey of the building.,ias officer son found dead under mysterious circumstances,18-yr-old son of maharashtra housing authority vp dies in mumbai,0.1,0.0,0.1,0.5623413251903491
summarize: after pakistani pacer mohammad amir revealed on twitter that he rates indian captain virat kohli as the world best batsman user tweeted from india and aapne dil jit liya ham sabka doesn matter who is best but am your big fan as an indian would god bless you read another tweet.,aapne dil jit liya tweets user on amir calling kohli best,i am your big fan as an indian tweets mohammad amir,0.18181818181818182,0.0,0.18181818181818182,0.6529942057256104
summarize: sri lanka on tuesday chased down the target of 388 against zimbabwe in the one-off test to register their highest successful run chase the run chase was also the biggest in sri lanka and asia and the fifth highest successful chase in cricket history spinner rangana herath who took 11 wickets in the match was named man of the series.,sri lanka register their highest successful test run chase,sri lanka chase down 388 in one-off test to register highest run chase,0.6086956521739131,0.1904761904761905,0.5217391304347826,0.547332024239071
